"","Financial.Year","Geocode","Force.Name","Region","Sex","Ethnic.Group..self.defined.","Age.group","Reason.for.arrest..offence.group.","Arrests"
"952","2017/18","E23000008","Durham","North East","Female","White","18 - 20 years","2015/16 onwards - Sexual offences"," - "
"953","2017/18","E23000008","Durham","North East","Female","White","21 years and over","2015/16 onwards - Sexual offences"," 8 "
"954","2017/18","E23000008","Durham","North East","Female","White","Under 10 years","2015/16 onwards - Sexual offences"," - "
"955","2017/18","E23000008","Durham","North East","Female","White","Unknown","2015/16 onwards - Sexual offences"," - "
"956","2017/18","E23000008","Durham","North East","Male","White","10 - 17 years","2015/16 onwards - Sexual offences"," 25 "
"957","2017/18","E23000008","Durham","North East","Male","White","18 - 20 years","2015/16 onwards - Sexual offences"," 38 "
"958","2017/18","E23000008","Durham","North East","Male","White","21 years and over","2015/16 onwards - Sexual offences"," 195 "
"959","2017/18","E23000008","Durham","North East","Male","White","Under 10 years","2015/16 onwards - Sexual offences"," - "
"960","2017/18","E23000008","Durham","North East","Male","White","Unknown","2015/16 onwards - Sexual offences"," - "
"961","2017/18","W15000004","Dyfed-Powys","Wales","Female","White","10 - 17 years","2015/16 onwards - Sexual offences"," - "
"962","2017/18","W15000004","Dyfed-Powys","Wales","Female","White","18 - 20 years","2015/16 onwards - Sexual offences"," 2 "
"963","2017/18","W15000004","Dyfed-Powys","Wales","Female","White","21 years and over","2015/16 onwards - Sexual offences"," 6 "
"964","2017/18","W15000004","Dyfed-Powys","Wales","Female","White","Under 10 years","2015/16 onwards - Sexual offences"," - "
"965","2017/18","W15000004","Dyfed-Powys","Wales","Female","White","Unknown","2015/16 onwards - Sexual offences"," - "
"966","2017/18","W15000004","Dyfed-Powys","Wales","Male","White","10 - 17 years","2015/16 onwards - Sexual offences"," 19 "
"967","2017/18","W15000004","Dyfed-Powys","Wales","Male","White","18 - 20 years","2015/16 onwards - Sexual offences"," 40 "
"968","2017/18","W15000004","Dyfed-Powys","Wales","Male","White","21 years and over","2015/16 onwards - Sexual offences"," 169 "
"969","2017/18","W15000004","Dyfed-Powys","Wales","Male","White","Under 10 years","2015/16 onwards - Sexual offences"," - "
"970","2017/18","W15000004","Dyfed-Powys","Wales","Male","White","Unknown","2015/16 onwards - Sexual offences"," - "
"971","2017/18","E23000028","Essex","Eastern","Female","White","10 - 17 years","2015/16 onwards - Sexual offences"," 1 "
"972","2017/18","E23000028","Essex","Eastern","Female","White","18 - 20 years","2015/16 onwards - Sexual offences"," - "
"973","2017/18","E23000028","Essex","Eastern","Female","White","21 years and over","2015/16 onwards - Sexual offences"," 6 "
"974","2017/18","E23000028","Essex","Eastern","Female","White","Under 10 years","2015/16 onwards - Sexual offences"," - "
"975","2017/18","E23000028","Essex","Eastern","Female","White","Unknown","2015/16 onwards - Sexual offences"," - "
"976","2017/18","E23000028","Essex","Eastern","Male","White","10 - 17 years","2015/16 onwards - Sexual offences"," 37 "
"977","2017/18","E23000028","Essex","Eastern","Male","White","18 - 20 years","2015/16 onwards - Sexual offences"," 54 "
"978","2017/18","E23000028","Essex","Eastern","Male","White","21 years and over","2015/16 onwards - Sexual offences"," 414 "
"979","2017/18","E23000028","Essex","Eastern","Male","White","Under 10 years","2015/16 onwards - Sexual offences"," - "
