"","Financial.Year","Geocode","Force.Name","Region","Sex","Ethnic.Group..self.defined.","Age.group","Reason.for.arrest..offence.group.","Arrests"
"508","2016/17","E23000035","Devon and Cornwall","South West","Male","Asian or Asian British","21 years and over","2015/16 onwards - Sexual offences"," 18 "
"509","2016/17","E23000035","Devon and Cornwall","South West","Male","Asian or Asian British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"510","2016/17","E23000035","Devon and Cornwall","South West","Male","Asian or Asian British","Unknown","2015/16 onwards - Sexual offences"," - "
"511","2016/17","E23000039","Dorset","South West","Female","Asian or Asian British","10 - 17 years","2015/16 onwards - Sexual offences"," - "
"512","2016/17","E23000039","Dorset","South West","Female","Asian or Asian British","18 - 20 years","2015/16 onwards - Sexual offences"," - "
"513","2016/17","E23000039","Dorset","South West","Female","Asian or Asian British","21 years and over","2015/16 onwards - Sexual offences"," - "
"514","2016/17","E23000039","Dorset","South West","Female","Asian or Asian British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"515","2016/17","E23000039","Dorset","South West","Female","Asian or Asian British","Unknown","2015/16 onwards - Sexual offences"," - "
"516","2016/17","E23000039","Dorset","South West","Male","Asian or Asian British","10 - 17 years","2015/16 onwards - Sexual offences"," - "
"517","2016/17","E23000039","Dorset","South West","Male","Asian or Asian British","18 - 20 years","2015/16 onwards - Sexual offences"," 1 "
"518","2016/17","E23000039","Dorset","South West","Male","Asian or Asian British","21 years and over","2015/16 onwards - Sexual offences"," 7 "
"519","2016/17","E23000039","Dorset","South West","Male","Asian or Asian British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"520","2016/17","E23000039","Dorset","South West","Male","Asian or Asian British","Unknown","2015/16 onwards - Sexual offences"," - "
"521","2016/17","E23000008","Durham","North East","Female","Asian or Asian British","10 - 17 years","2015/16 onwards - Sexual offences"," - "
"522","2016/17","E23000008","Durham","North East","Female","Asian or Asian British","18 - 20 years","2015/16 onwards - Sexual offences"," - "
"523","2016/17","E23000008","Durham","North East","Female","Asian or Asian British","21 years and over","2015/16 onwards - Sexual offences"," - "
"524","2016/17","E23000008","Durham","North East","Female","Asian or Asian British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"525","2016/17","E23000008","Durham","North East","Female","Asian or Asian British","Unknown","2015/16 onwards - Sexual offences"," - "
"526","2016/17","E23000008","Durham","North East","Male","Asian or Asian British","10 - 17 years","2015/16 onwards - Sexual offences"," - "
"527","2016/17","E23000008","Durham","North East","Male","Asian or Asian British","18 - 20 years","2015/16 onwards - Sexual offences"," - "
"528","2016/17","E23000008","Durham","North East","Male","Asian or Asian British","21 years and over","2015/16 onwards - Sexual offences"," 9 "
"529","2016/17","E23000008","Durham","North East","Male","Asian or Asian British","Under 10 years","2015/16 onwards - Sexual offences"," - "
