"","Financial.Year","Geocode","Force.Name","Region","Sex","Ethnic.Group..self.defined.","Age.group","Reason.for.arrest..offence.group.","Arrests"
"1369","2018/19","E23000035","Devon and Cornwall","South West","Male","Black or Black British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"1370","2018/19","E23000035","Devon and Cornwall","South West","Male","Black or Black British","Unknown","2015/16 onwards - Sexual offences"," - "
"1371","2018/19","E23000039","Dorset","South West","Female","Black or Black British","10 - 17 years","2015/16 onwards - Sexual offences"," - "
"1372","2018/19","E23000039","Dorset","South West","Female","Black or Black British","18 - 20 years","2015/16 onwards - Sexual offences"," - "
"1373","2018/19","E23000039","Dorset","South West","Female","Black or Black British","21 years and over","2015/16 onwards - Sexual offences"," - "
"1374","2018/19","E23000039","Dorset","South West","Female","Black or Black British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"1375","2018/19","E23000039","Dorset","South West","Female","Black or Black British","Unknown","2015/16 onwards - Sexual offences"," - "
"1376","2018/19","E23000039","Dorset","South West","Male","Black or Black British","10 - 17 years","2015/16 onwards - Sexual offences"," - "
"1377","2018/19","E23000039","Dorset","South West","Male","Black or Black British","18 - 20 years","2015/16 onwards - Sexual offences"," - "
"1378","2018/19","E23000039","Dorset","South West","Male","Black or Black British","21 years and over","2015/16 onwards - Sexual offences"," 5 "
"1379","2018/19","E23000039","Dorset","South West","Male","Black or Black British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"1380","2018/19","E23000039","Dorset","South West","Male","Black or Black British","Unknown","2015/16 onwards - Sexual offences"," - "
"1381","2018/19","E23000008","Durham","North East","Female","Black or Black British","10 - 17 years","2015/16 onwards - Sexual offences"," - "
"1382","2018/19","E23000008","Durham","North East","Female","Black or Black British","18 - 20 years","2015/16 onwards - Sexual offences"," - "
"1383","2018/19","E23000008","Durham","North East","Female","Black or Black British","21 years and over","2015/16 onwards - Sexual offences"," - "
"1384","2018/19","E23000008","Durham","North East","Female","Black or Black British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"1385","2018/19","E23000008","Durham","North East","Female","Black or Black British","Unknown","2015/16 onwards - Sexual offences"," - "
"1386","2018/19","E23000008","Durham","North East","Male","Black or Black British","10 - 17 years","2015/16 onwards - Sexual offences"," - "
"1387","2018/19","E23000008","Durham","North East","Male","Black or Black British","18 - 20 years","2015/16 onwards - Sexual offences"," - "
"1388","2018/19","E23000008","Durham","North East","Male","Black or Black British","21 years and over","2015/16 onwards - Sexual offences"," 3 "
"1389","2018/19","E23000008","Durham","North East","Male","Black or Black British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"1390","2018/19","E23000008","Durham","North East","Male","Black or Black British","Unknown","2015/16 onwards - Sexual offences"," - "
"1391","2018/19","W15000004","Dyfed-Powys","Wales","Female","Black or Black British","10 - 17 years","2015/16 onwards - Sexual offences"," - "
"1392","2018/19","W15000004","Dyfed-Powys","Wales","Female","Black or Black British","18 - 20 years","2015/16 onwards - Sexual offences"," - "
"1393","2018/19","W15000004","Dyfed-Powys","Wales","Female","Black or Black British","21 years and over","2015/16 onwards - Sexual offences"," - "
"1394","2018/19","W15000004","Dyfed-Powys","Wales","Female","Black or Black British","Under 10 years","2015/16 onwards - Sexual offences"," - "
